abstract-quality;['personnalité', 'problème de personnalité', 'caractère'];Combinaison de caractéristiques émotionnelles, d'attitude et de comportement d'un individu
activity;["coup d'état", "coup d'etat", 'putsch', 'putschiste', 'coup d’état', 'golpe', "coups d'état", 'coup d’etat', "coups d'états", 'coups d’état', 'putsch militaire', "coup d'etat militaire", 'coup', 'prise de pouvoir', 'coups', 'révolution de palais'];Renversement du pouvoir par une personne investie d'une autorité, de façon illégale et souvent brutale
activity;['dilatation et curetage', 'curetage', 'dilatation et le curetage', 'd et c'];Méthode d'avortement
activity;['jeu télévisé', 'jeu televise', 'jeux télévisés', 'quiz télévisé', 'émission de jeu'];Émission télévisée où les participants tentent de gagner des prix
activity;['ballet', 'danse de scène', 'ballets', 'danse classique', 'grand ballet', 'ballet classique', 'danseur classique', 'danseuse classique', 'histoire du ballet', 'la danse classique', 'spectacle de danse', 'concert danse', 'danse théâtre', 'showdance'];Danse de scène artistique accompagnée de musique
activity;['vaseline', '8009-03-8', 'e905b', 'vasline', 'gelée de pétrole'];Marque déposée d'une substance chimique
activity;['parodie de procès', 'farce judiciaire', 'parodie de justice', 'procès-spectacle', 'montrer essai', 'organisé procès'];Procès dont le verdict est déterminé à l’avance
activity;['rock', "rock 'n' roll", 'musique rock', 'rock and roll', 'rock n roll', "rock'n'roll", "rock'n roll", 'rock & roll', 'rock ’n’ roll', 'rock’n’roll', "rock n' roll", "rock n'roll", 'rock&roll', "rock 'n roll", 'rock 1950', 'rock music', 'rock musique', 'rock n’roll', 'rocker', 'rockeur', 'rock’n roll', 'roc', 'roche', 'rocher', 'musicien de rock', 'rock-and-roll', 'rock-n-roll', 'rock roll'];Genre musical et de danse
activity;['rock', "rock 'n' roll", 'musique rock', 'rock and roll', 'rock n roll', "rock'n'roll", "rock'n roll", 'rock & roll', 'rock ’n’ roll', 'rock’n’roll', "rock n' roll", "rock n'roll", 'rock&roll', "rock 'n roll", 'rock 1950', 'rock music', 'rock musique', 'rock n’roll', 'rocker', 'rockeur', 'rock’n roll', 'roc', 'roche', 'rocher', 'musicien de rock', 'rock-and-roll', 'rock-n-roll', 'rock roll'];Genre musical
activity;['leçon', 'cours', 'lecon', 'leçons'];Enseignement que l’on donne à ceux qui sont dans un processus d'apprentissage
activity;['bridge', 'contracter', 'contrat'];Jeux de cartes
activity;['vaudeville', 'music-hall', 'vaudeville américain', 'vaudevilliste, veau de ville', 'emission de varietes', 'music hall', 'vaudevilliste', 'veau de ville', 'vaudville'];Genre théâtral
activity;['vaudeville', 'music-hall', 'vaudeville américain', 'vaudevilliste, veau de ville', 'emission de varietes', 'music hall', 'vaudevilliste', 'veau de ville', 'vaudville'];Genre de spectacle de variété américain
activity;['vaudeville', 'music-hall', 'vaudeville américain', 'vaudevilliste, veau de ville', 'emission de varietes', 'music hall', 'vaudevilliste', 'veau de ville', 'vaudville'];genre théâtral
activity;['joint-venture', 'entreprise commune', 'coentreprise', 'joint venture', 'accord de coopération', 'co-entreprise', 'joint-ventures', 'joint ventures', 'coentreprises'];Un accord passé entre deux ou plusieurs entreprises qui acceptent de poursuivre ensemble un but précis pour une durée limitée
activity;['promesse', 'engagement', 'obligation'];Engagement ou une déclaration d'intention
activity;['basse profonde', 'basse-contre', 'basse nivette', 'basse noble', 'basse profondo', 'basse profundo', 'basso profundo'];Tessiture
activity;['élection', 'élections', 'élu', 'élus', 'processus électoral', 'électoral', 'consultation électorale', 'processus electoral', 'élection directe', 'élections directes', 'élections indirectes', 'élections libres', 'réélection', 'démocratiquement élu', 'politique électorale', 'vote populaire'];Processus de choix par votation
activity;['guerre civile', 'guerre intestine', 'guerres civiles', 'conflit armé non international'];Conflit armé entre membres d'une même société
activity;['guerre franco-allemande de 1870', 'guerre franco-allemande', 'guerre franco-prussienne', '1870-1871', 'guerre de 1870', 'guerre de 70', 'guerre de septante', 'guerre franco-prusse', 'guerre franco-prussienne de 1870', 'guerre franco allemande de 1870', 'guerre franco prussienne', 'guerre franco-allemande de 1870-1871', 'la guerre franco-allemande de 1870'];Conflit entre le Second Empire français et les États allemands coalisés sous l’égide de la Prusse
activity;['guerre de corée', 'guerre de coree', 'la guerre de corée'];Guerre de 1950 à 1953 entre Corée du Nord et Corée du Sud
activity;['seconde guerre mondiale', 'deuxième guerre mondiale', 'world war ii', '1939-1945', '2e guerre mondiale', 'avant-guerre', 'avant guerre', 'guerre de 1939-1945', 'wwii', 'occupation nazie', 'world war 2'];Conflit armé à l'échelle planétaire
activity;['guerre hispano-américaine', 'désastre de 1898', 'guerre de 1898', 'guerre de cuba', 'guerre hispano-americaine', 'guerre hispano américaine', 'guerre hispanoaméricaine', "guerre d'espagne"];Évènement historique du 19e siècle
activity;['guerre mondiale', 'guerres mondiales', 'guerre internationale'];Grande guerre étendue dans le monde entier
activity;['guerre du golfe', 'guerre du koweït', 'libération du koweït', '1re guerre du golfe', 'crise du golfe', 'deuxième guerre du golfe', 'guerre du golfe de 1990-1991', 'guerre du koweit', 'première guerre du golfe', 'guerre du golfe persique'];Guerre opposant l'Irak à une coalition, de 1990 à 1991
activity;['blocus', 'encerclement', 'siège', 'blocages'];Opération visant à couper le ravitaillement ou les communications d'un territoire plutôt grand
activity;['effet de foehn', 'effet de föhn', 'effet de fœhn', 'effets de foehn', 'foehn', 'fohn'];Phénomène météorologique
activity;['la fête à la maison saison 4'];Saison 4 de la série télévisée « La Fête à la maison »
activity;['chemin de fer clandestin', 'métro', 'ligne de métro', 'métropolitain', 'chemin de fer souterrain', 'underground railroad'];Réseau de routes clandestines utilisées par les esclaves afro-américains pour se réfugier au-delà de la ligne Mason-Dixon et jusqu’au Canada
activity;['jeûne', 'greve de la faim', 'grève de la soif', 'jeun', 'jeûner', 'grèves de la faim', 'jeûnes', 'rapide'];Privation volontaire de nourriture
activity;['chasteté', 'célibat', 'abstinence', 'chaste', 'chastete', 'celibat', 'célibat du clergé', 'célibat ecclésiastique', 'célibataire', 'abstention sexuelle'];Concept éthique de tempérament lié à la sexualité
activity;['collaboration', 'collaborationniste', 'collaborationnisme', 'collaborationisme', 'collaborationnistes', "collaboration dans l'europe occupée par les nazis", 'quislingism'];Collaboration avec l'Ennemi en temps de guerre
activity;['stéganographie', 'art de la dissimulation', 'steganographie', 'codage', 'cryptographie'];Science et art de l'écriture de messages cachés
activity;['remise en jeu', 'loi 15 du football', 'touche', 'loi 15 du football : rentrée de touche', 'loi 15 du football: rentrée de touche', 'loi 15 du football : rentree de touche'];rentrée de touche
activity;['abstinence', 'abstinents'];Renoncement volontaire et durable à la satisfaction d'un appétit ou d'une envie
activity;['action de groupe', "action d'un groupe topologique", 'action de groupe cocompacte', 'action transitive', 'formule des classes', 'groupe opérant sur un ensemble', 'lemme de burnside', 'action groupe', 'actions de groupe', 'coinvariants', 'espace des orbites', "groupe d'isotropie", 'groupe de transformation', 'orbite', 'orbite symétrie', 'simplement transitive', 'sous-groupe stabilisateur', 'stabilisateur'];Loi de composition externe d'un groupe sur un ensemble, faisant permuter les éléments de cet ensemble
activity;['vengeance', 'représailles', 'revanche', 'rétorsion', 'talion', 'représaille'];Acte d’attaque motivée par une action antérieure perçue comme négative
activity;['protection civile', 'défense civile', 'sécurité civile'];Terme pour toutes les facilités et mesures dans les domaines de la protection civile et de la défense civile
activity;['éducation', 'didactique', 'système éducatif', 'instruction', 'formation', 'instructif', 'éduquer', "accès à l'éducation", 'education', "système d'éducation", 'éducatif', 'éducation spéciale', 'enseignement', 'pédagogue', 'activité éducative', 'instruits', 'pédagogie', 'éducateurs'];Apprentissage et développement des facultés physiques, psychiques et intellectuelles
activity;['éducation', 'didactique', 'système éducatif', 'instruction', 'formation', 'instructif', 'éduquer', "accès à l'éducation", 'education', "système d'éducation", 'éducatif', 'éducation spéciale', 'enseignement', 'pédagogue', 'activité éducative', 'instruits', 'pédagogie', 'éducateurs'];L'enseignement des compétences, de l'expertise et de la connaissance à un être humain
activity;['antiféminisme', 'chauvinisme', 'machisme', 'antifeminisme', 'antiféministe', 'anti-féminisme', 'anti-féministe', 'chauvin'];Idéologie opposée au féminisme
activity;['perturbation écologique', 'perturbation', 'dégâts environnementaux', 'perturbation ecologique', 'perturbations écologiques', 'théorie de la perturbation écologique'];Détérioration naturelle et souvent provisoire de l’environnement ou d'un écosystème
activity;['relations internationales', 'affaires internationales', 'politique internationale', 'affaires du monde', 'relations interétatiques'];Étude des relations entre deux ou plusieurs acteurs internationaux
activity;['épargne', 'économie', 'epargne', 'épargnant', "taux d'épargne", 'bas de laine', 'épargne liquide'];Part de revenu non employé pour la consommation immédiate
activity;['sport', 'athlétisme', 'sports', 'activité sportive', 'pratique sportive', 'pratiques sportives', 'discipline sportive', 'liste de sports', 'sport intellectuel', 'événement sportif', 'événements sportifs'];Activité physique et/ou mentale de récréation
activity;['loisir', 'récréation', 'loisirs', 'activité récréative', 'hobbie', 'hobbies', 'hobby', 'sociologie du loisir', 'sociologue du loisir', 'passe-temps', 'repos', 'temps libre', 'hobbyists', 'amusement', 'activités de loisirs', 'activités récréatives'];Activité effectuée durant son temps libre
activity;['divertissement', 'divertir', 'entertainment', 'divertissement pascalien', 'amusement', 'récréation', 'artistes'];Activité qui permet aux êtres humains d'occuper leur temps libre en s'amusant et de se détourner ainsi de leurs préoccupations
activity;['persona', 'rôle', 'personnage', 'partie', 'personae', 'rôle théâtral'];Personnage assumé par un acteur ou utilisé par un auteur
activity;['sermon', 'prêche', 'sermonnage', 'sermons', 'bài giảng', 'prédication', 'discours', 'prêcher'];Discours de prédication
activity;['dépression', 'basse pression', 'depression', 'dépression atmosphérique', 'dépression météorologique', 'système dépressionnaire', 'zone de basse pression', 'bas', 'bassin', 'système météorologique', 'systèmes de basse pression'];Zone fermée de basse pression atmosphérique, c'est-à-dire où la pression est minimale au centre
activity;['méthode du calendrier', 'méthodes statistiques de régulation des naissances', 'rythme', 'calendrier des méthodes basées', 'méthode du calendrier de contrôle des naissances', 'méthode du rythme de contrôle des naissances', 'méthode ogino', 'méthode rythme'];Méthode de planification familiale naturelle
activity;['be-bop', 'bebop', 'be bop', 'bop', 'liste des musiciens du be bop'];Style musical de jazz
activity;['aria', 'air', 'airs'];Toute mélodie expressive, souvent chantée
activity;['combat', 'bataille', 'lutte', 'combat armé', 'entraînement au combat'];Lutte ou violent conflit entre deux ou plusieurs personnes
activity;['troc', 'commerce', 'échange', 'négoce', 'swap', 'échanger', 'marque', 'troquer', 'système de troc', 'économie troc'];Échange d'un objet contre un autre
activity;['rite', 'rite religieux', 'rites', "rite d'entrée", 'rite sacré', 'rite tribal', 'rites et cérémonies', 'ritualisation', 'rituel', 'rituelle', 'ritus', 'pratique rituelle', 'pratiques rituelles', 'rites religieux', 'rituel satanique', 'rituels'];Pratique sociale de caractère sacré ou symbolique
activity;['autopsie', 'nécropsie', 'autopsies', 'examen post-mortem', 'post-mortem', 'françois coli', "l'autopsie", 'post mortem'];Examen médical des cadavres
activity;["exercice d'incendie"];Exercices au cours duquel les personnes apprennent à reconnaître les caractéristiques du signal sonore d'alarme générale, à se servir des moyens de premier secours et à exécuter les diverses manœuvres nécessaires, en particulier l'évacuation.
activity;['exégèse', 'exégèse libérale', 'exégèse moderne', 'exégèse protestante', 'herméneutique sacrée', 'interprétation exégétique', 'étude des écritures', 'éxégète', 'exégétique', 'exegese', 'exégèse biblique', 'exégèse juive', 'exégèses', 'exégètes'];Étude approfondie et critique d'un texte
