abstract-quality;['особистість', 'особистості'];Відображення соціальної природи людини
agentive-physical-object;['aythya affinis', 'oxyura vittata', 'чернь американська', 'aythya ашшз', 'малої чорніти', 'менше чорніти', 'менше чорніти качка', 'озеро качка'];Вид птахів
agentive-physical-object;['lanius ludovicianus', 'сорокопуд американський', 'lanius lucovicianus', 'loggerhead сорокопуд', 'болван сорокопуд'];Вид птахів
agentive-physical-object;['hamamelis virginiana', 'гамамеліс віргінський', 'virginian гамамелісу'];Вид рослин
agentive-physical-object;['alnus serrulata', 'гладкою вільха', 'карий вільха'];Вид рослин
agentive-physical-object;['viverricula indica', 'цівета мала', 'viverricula', 'viverricula malaccensis', 'viverricula показників', 'невеликий ціветти'];Вид ссавців
agentive-physical-object;['ластівка міська', 'delichon urbicum', 'hirundo urbica', 'білогурка', 'міська ластівка', 'будинок мартіна', 'delichon', 'delichon urbica'];вид птахів
agentive-physical-object;['pinus virginiana', 'pinus віргінський', 'вірджинія pine', 'вірджинія сосна', 'джерсі сосна', 'скраб сосна'];Вид рослин
agentive-physical-object;['баранець звичайний', 'gallinago gallinago', 'бекас', 'звичайний баранець', 'всі бекаса'];Вид птахів
agentive-physical-object;['сільська ластівка', 'ластівка сільська', 'ластівка', 'hirundo rustica', 'ластівка звичайна', 'rustica'];Вид птахів
agentive-physical-object;['piranga flava', 'piranga hepatica', 'печінкова tanager', 'печінкова танагер', 'піранга flava нераіса'];Вид птахів
agentive-physical-object;['piranga flava', 'piranga hepatica', 'печінкова tanager', 'печінкова танагер', 'піранга flava нераіса'];Вид птахів
agentive-physical-object;['чирянка мала', 'anas carolinensis', 'anas crecca', 'чирок-свистунок', 'чирок-свистунець', 'анас crecca', 'green-крилаті teal', 'greenwing', 'зелений крилатий чирок'];Вид викопних птахів
agentive-physical-object;['чирянка мала', 'anas carolinensis', 'anas crecca', 'чирок-свистунок', 'чирок-свистунець', 'анас crecca', 'green-крилаті teal', 'greenwing', 'зелений крилатий чирок'];Вид птахів
agentive-physical-object;['pithecellobium dulce', 'acacia obliquifolia', 'camachile', 'huamachil', 'маніла тамаринду'];Вид рослин
agentive-physical-object;['pithecellobium dulce', 'acacia obliquifolia', 'camachile', 'huamachil', 'маніла тамаринду'];вид рослин
agentive-physical-object;['pithecellobium dulce', 'acacia obliquifolia', 'camachile', 'huamachil', 'маніла тамаринду'];Вид рослин
agentive-physical-object;['американська ропуха звичайна', 'anaxyrus americanus', 'bufo атепсапіз', 'американська жаба'];Вид земноводних
agentive-physical-object;['тауї східний', 'таві східний', 'pipilo erythrophthalmus', 'fringilla erythrophthalma', 'cheewink', 'chewink'];Вид птахів
agentive-physical-object;['момбін пурпурний', 'spondias purpurea', 'jocote', 'mombin дерева', 'spondias пурпурової'];Вид рослин
agentive-physical-object;['viola pedata', 'альт pedata', 'братки фіолетового', 'пташині ноги фіолетового'];Вид рослин
agentive-physical-object;['віреон сизоголовий', 'vireo solitarius', 'blue-очолювані vireo', 'vireo solitarius solitarius', 'синьо-очолювані віреон'];Вид птахів
agentive-physical-object;['setophaga auduboni', 'setophaga coronata auduboni', 'audubon в очеретянки', 'audubon очеретянки', 'dendroica auduboni'];Вид птахів
agentive-physical-object;['nuphar advena', 'жовті ставок з ліліями', 'корова лілії', 'кубушка'];Вид рослин
agentive-physical-object;['лобода біла', 'chenopodium album var. album', 'chenopodium album', 'chenopodium альбом', "lamb's чверті"];Вид рослин
agentive-physical-object;['alectoris rufa', 'червона куріпка', 'alectoris ruffa'];Вид птахів
agentive-physical-object;['західна огорожева ящірка', 'sceloporus occidentalis', 'sceloporus західна', 'західній ящірка паркан', 'синьо-живота'];Вид плазунів
agentive-physical-object;['cyclamen hederifolium', 'цикламен hederifolium', 'дикий цикламен', 'цикламен neopolitanum'];Вид рослин
agentive-physical-object;['geranium maculatum', 'герань maculatum', 'дикої герані', 'плямистий герань'];Вид рослин
agentive-physical-object;['clintonia borealis', 'clintonia сяйво', 'жовті clintonia'];Вид рослин
agentive-physical-object;['півники болотні', 'iris pseudacorus', 'півник болотяний', 'ірис болотний', 'жовтий прапор', 'жовтий ірис', 'жовтий прапор води'];Вид рослин
agentive-physical-object;['підмаренник справжній', 'galium verum', 'жовтого підмаренника', 'жовті ножі', 'наші підмаренник'];Вид рослин
agentive-physical-object;['platycerium alcicorne', 'platycerium bifurcatum', 'elkhorn папороті', 'загальні оленячого рогу папороті'];Вид рослин
